summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
RGWAxC5xTivtNN6urXHRnQvhagIILaUqDIfcSJQZ_M2JNR1x,Nio Nio Nii,1013,I,337,284,True,False,False,False
L129EYs9hEfHAuw2Hc-G3DZc4_eaIeTwFb1YvhKnW_iusyUl,Maître kebabier1,862,I,183,126,False,False,True,True
L9OODrLTLr70GRWTiRD2YJNbaGgPTCXzf-gM8Wt7J4CaUKbOLrSI8Kq2Vw,Raider Rank 1,1075,I,314,218,True,False,False,False
y2yKt1u8MN0lmiLHGYSKDL6Gm7OKzivw011QyQaJ7FZoIqNX,Clopium,915,I,196,150,False,False,False,True
K42aJKOGzVNscukNLxwgSJr7qi8zPpeFVsMLGJNkjgDjH5Y,Lyrokun,1349,I,160,101,True,False,False,True
blhkbwZQro8FzMXbJ4VmhvnHkVuxhhTb70AQW5hssFw7KJKmodgiOKbi4A,Musa51,964,I,135,89,False,False,False,False
PmV6rElH_FHlDZp4LAXW_fI0Glr8ZsuQjfCD6iapzWV74dM3,Bloody Butcherr,873,I,153,98,False,False,True,False
5w5Bs6RqlsuXV-s8rSEXCI0cQD65lQA6mzTnM3TFUu6hJkA,Dus Ud,891,I,150,104,False,False,False,False
SbAG5JOoMAJ1AmXWBhjBWg-xiY_yMT29pFjkm7zv0DBhGIg,Rabble Arouser,850,I,108,67,False,False,True,False
0KULCciQegmJJPMlqBS6DF0DVvsXG_ljb2s8Epaftu8gmFs,Shizyphus,905,I,291,246,False,False,False,True
v1c4ckEpCnutqEJ29WvzHGrr9nQ8a3_r2RxxKU4HnuQjVvALdeBQ1acx-Q,jonas2246,907,I,124,84,False,False,False,True
vOZ6OEE42i13XgnlVv5e0O6cq1GjloIeBmVdGG38025oxfy2,S P L A S H 777,945,I,214,172,True,False,False,True
G3bKht5kyPe2sU0YfXsDbOpUXkK0h4ASmFPb6GdDKuf6w4APdLes40hkgw,ESC ÆTHER,1008,I,89,40,False,False,False,True
WEJ0Xl423wOD6_btmPLdKpijnfIIHbT_Y5HOcSSAMJXJV-o,Lekcyc LFT,999,I,210,156,False,False,False,False
0rEFsMDOsihr16lQLTprLXEMNJYI48PbPqI7YH1VmJ708r0,Efias,857,I,115,74,False,False,True,False
uGQgBBP-HnBGh8EL6J9de_5PASUptSepkPLir4DziLtZ_hUy,Mountain Wolf,1323,I,202,134,True,False,False,False
66J6Wiuih5Hbhsy98VfAZDhCJ2fyEKys9EsmoDH9g9hrkm-h3LdVtXgOmA,,899,I,232,178,True,False,False,False
YRdSdr447B4zFFrErZR_IbicnbBJ7s5uKU8MMhphdkXDmtk,AHaHaCiK,1048,I,177,130,True,False,False,False
oL3RPcAtJcLDWe0b_yY9cUzpWCF3WIxUFdRUYhySA9iPmCs,Jukester,973,I,299,254,False,False,True,True
eZKdyFGydULgb4LOBFMy8WIb9nxvBENb8oAO4_EVoi-T2gXPuRwruS59SQ,DJ1XQEWNOI,910,I,242,195,False,False,True,False
lXROGH7oDtXabaauA-GW6pq9kVAuxxSnw3XmGkFPgbSAMlhI,G2ThreeEyedSwain,1114,I,216,157,True,False,False,False
OnG5TBQ-Kyc0r0_l1BZ-yJyK6o-iMEZS-Y1iVjYADC2Z_zs,only demons,1029,I,208,152,False,False,False,False
B5k1hTEkbowxN6vZ7dChHqK3fs3dbtJZXdHHUeoJYV6mW5o,avarice61,1044,I,236,185,False,False,False,False
XxNeMqBZDBMQJSzdCoYgf2AUYl_wd1izPrmEK3OEvRyXTxo,Thumbs Down,1218,I,224,163,True,False,False,False
IA9jNo5nxZ4cBOyHb0CaPBYHfpEzqz_8qKCg0TJGnpHcUdc,Season 3 Chall,960,I,248,201,False,False,True,False
jr2LlyvVC14wa2vFpj_IavtPEn1ANjTMdmlXupNV5X62WmAj,xiaohuXXW,860,I,153,110,False,False,False,False
uQYzo_kE5oHMPqoIl9lNzJ-VomZe6lOy4aUxaxfVKcG4aDe2VEJgNv1Y0Q,,1207,I,220,154,True,False,False,False
BIz0r8gdIgbk1CF9HMwUIYz7FY8E9jJBinkxc8T3ewF760VZ,Tojî Fushîguro,1156,I,273,224,True,False,False,False
